# {"t_start": 1616515193.3315663, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t,ereward,reward_woD
0,150,2.922931,0,0
0,150,4.879263,0,0
0,150,6.818506,0,0
0,150,8.903109,0,0
0,150,11.164028,0,0
0,150,13.494816,0,0
0,150,15.859157,0,0
0,150,18.222272,0,0
0.3847,150,20.584592,0.3847000435802007,0.3847000435802007
0,150,22.942173,0,0
0,150,25.30369,0,0
0,150,27.674821,0,0
0,150,30.065704,0,0
0,150,46.52128,0,0
0,150,48.884661,0,0
0.294179,150,51.25898,0.2941793900744768,0.2941793900744768
0.196345,150,53.588104,0.19634495694431864,0.19634495694431864
0,150,55.947864,0,0
0,150,58.272849,0,0
0.346716,150,60.637507,0.3467162833835442,0.3467162833835442
0,150,62.992511,0,0
0,150,65.352931,0,0
0,150,67.712516,0,0
0,150,70.1075,0,0
0,150,72.455953,0,0
0,150,74.816734,0,0
0,150,77.182049,0,0
0,150,93.564708,0,0
0,150,95.963569,0,0
0,150,98.336226,0,0
0,150,100.705425,0,0
0,150,103.075197,0,0
0,150,105.464155,0,0
0,150,107.827294,0,0
0,150,110.187195,0,0
0,150,112.553068,0,0
0,150,114.927298,0,0
0,150,117.29217,0,0
0,150,119.687028,0,0
0,150,122.088715,0,0
0.343793,150,138.503184,0.3437926162882551,0.3437926162882551
0,150,140.861216,0,0
0,150,143.234219,0,0
10.30767,150,145.606789,10.30767014802417,10.30767014802417
0,150,147.990768,0,0
0,150,150.36476,0,0
1.640764,150,152.716235,1.640763747488657,1.640763747488657
0,150,155.076109,0,0
0,150,157.427622,0,0
0,150,159.794804,0,0
0,150,162.130929,0,0
0,150,164.472324,0,0
0,150,166.810171,0,0
0,150,169.160156,0,0
0,150,185.498338,0,0
0,150,187.873325,0,0
0,150,190.211473,0,0
0,150,192.577743,0,0
0,150,194.945588,0,0
0,150,197.305848,0,0
0,150,199.64468,0,0
0,150,201.988808,0,0
0,150,204.364377,0,0
0,150,206.721628,0,0
0,150,209.102412,0,0
0,150,211.462734,0,0
0,150,213.837332,0,0
0,150,216.206079,0,0
