# {"t_start": 1616588549.6416755, "env_id": "ReacherPyBulletEnv-v0"} 
r,l,t,ereward,reward_woD
0.216965,150,3.010279,0.21696487937214703,0.21696487937214703
0.146871,150,4.950268,0.14687102328158075,0.14687102328158075
0,150,6.9107,0,0
0,150,8.943577,0,0
0,150,11.172661,0,0
0,150,13.529625,0,0
0,150,15.898206,0,0
0,150,18.271045,0,0
0,150,20.667181,0,0
0,150,23.050388,0,0
0,150,25.421091,0,0
0,150,27.783258,0,0
0,150,30.167161,0,0
0,150,46.573354,0,0
0,150,48.954053,0,0
0,150,51.33854,0,0
0,150,53.723497,0,0
0,150,56.101018,0,0
0,150,58.474057,0,0
0,150,60.857962,0,0
0,150,63.223403,0,0
1.356227,150,65.599181,1.356227154861057,1.356227154861057
0,150,67.951647,0,0
0,150,70.305599,0,0
0,150,72.666784,0,0
0,150,75.041268,0,0
0,150,77.435149,0,0
0.306027,150,93.893046,0.30602734703652523,0.30602734703652523
0,150,96.255756,0,0
0.281639,150,98.62032,0.28163897920144154,0.28163897920144154
0,150,100.978485,0,0
0,150,103.34344,0,0
0,150,105.701108,0,0
0,150,108.104586,0,0
0,150,110.492342,0,0
0,150,112.854761,0,0
0,150,115.214809,0,0
0,150,117.567244,0,0
0,150,119.921917,0,0
0,150,122.245567,0,0
0,150,138.517929,0,0
0,150,140.885967,0,0
0,150,143.255152,0,0
0,150,145.624509,0,0
0,150,147.986341,0,0
0,150,150.366461,0,0
0,150,152.743979,0,0
0,150,155.115408,0,0
0,150,157.461199,0,0
0,150,159.799732,0,0
0,150,162.158315,0,0
0,150,164.511372,0,0
0,150,166.865656,0,0
0,150,169.238408,0,0
0,150,185.635341,0,0
0,150,187.988606,0,0
0,150,190.35709,0,0
0,150,192.749064,0,0
0,150,195.120226,0,0
0,150,197.475045,0,0
0.277687,150,199.853443,0.27768739528775666,0.27768739528775666
0,150,202.214085,0,0
0,150,204.585127,0,0
0,150,206.952443,0,0
0,150,209.33469,0,0
0,150,211.730299,0,0
0,150,214.093418,0,0
0,150,216.469867,0,0
0,150,232.886567,0,0
0,150,235.243723,0,0
0,150,237.563243,0,0
0,150,239.915202,0,0
0,150,242.284481,0,0
0,150,244.655711,0,0
0,150,247.027177,0,0
0,150,249.381923,0,0
0,150,251.743619,0,0
0,150,254.117113,0,0
0,150,256.467575,0,0
0,150,258.832648,0,0
0,150,261.177083,0,0
0,150,278.079502,0,0
0,150,280.453954,0,0
0,150,282.819008,0,0
0,150,285.209324,0,0
