# {"t_start": 1618486530.459586, "env_id": "SparseReacher-v1"} 
r,l,t,ereward,reward_woD
0,150,4.454607,0,0
0,150,6.712314,0,0
0,150,8.92043,0,0
0,150,11.193042,0,0
0,150,13.620903,0,0
0.072951,150,16.009302,0.07295075003245666,0.07295075003245666
0.333377,150,18.496018,0.33337670369280137,0
0,150,20.94826,0,0
0.04257,150,23.409297,0.04257013932922149,0.04257013932922149
0.252989,150,25.779888,0.25298929073455145,0
0.649363,150,28.195352,0.6493627457304928,0.6493627457304928
0,150,30.613586,0,0
0.56054,150,33.064182,0.5605400550318518,0.5605400550318518
0,150,49.555271,0,0
0,150,52.054269,0,0
0,150,54.471429,0,0
0,150,56.937254,0,0
0,150,59.38239,0,0
0,150,61.771612,0,0
0,150,64.190227,0,0
0,150,66.719311,0,0
0.06071,150,69.136638,0.06071016198147394,0.06071016198147394
0,150,71.529179,0,0
0.767058,150,73.970435,0.7670584581567158,0.7670584581567158
0.229419,150,76.399436,0.2294189923503802,0
0,150,78.820939,0,0
9.103633,150,81.289367,9.103632975283062,0
0,150,98.115885,0,0
0,150,100.528489,0,0
0.284914,150,102.977467,0.28491438416546855,0
11.034279,150,105.446831,11.034278511280236,0
54.645383,150,107.849241,54.64538272765843,0
0,150,110.304358,0,0
0,150,112.738136,0,0
0,150,115.134274,0,0
0,150,117.550306,0,0
0,150,119.958345,0,0
0,150,122.447849,0,0
0,150,124.909736,0,0
0,150,127.326977,0,0
0.0638,150,143.829254,0.0638001292038457,0
0,150,146.269874,0,0
0,150,148.695256,0,0
0,150,151.125529,0,0
0,150,153.664317,0,0
0,150,156.093345,0,0
0,150,158.605384,0,0
0.374744,150,161.045919,0.37474357945415715,0
0,150,163.505464,0,0
0.548605,150,165.870448,0.548604503972237,0
0.58923,150,168.369826,0.5892302730023595,0
0,150,170.906301,0,0
0,150,173.460646,0,0
61.32622,150,176.156917,61.32621953746374,0
0,150,192.651561,0,0
0,150,195.065944,0,0
0,150,197.45488,0,0
0,150,199.927544,0,0
0,150,202.323466,0,0
0,150,204.761302,0,0
0,150,207.158506,0,0
0.337793,150,209.534473,0.3377933802144196,0
0.068091,150,211.975322,0.0680913284094461,0
0,150,214.370387,0,0
