# {"t_start": 1611594563.1433606, "env_id": "LunarLanderSparse-v2"} 
r,l,t,ereward,reward_woD
-121.81273,90,2.587164,-121.81273016677031,-121.81273016677031
-37.157496,63,3.162441,-37.157496335138774,-37.157496335138774
-101.381139,101,4.139292,-101.38113862323135,-101.38113862323135
-131.673391,115,5.234986,-131.67339102287312,-131.67339102287312
-260.421519,125,6.430775,-260.42151864458936,-260.42151864458936
-165.758648,87,7.271034,-165.75864801602762,-165.75864801602762
-209.262732,114,8.373613,-209.26273219796678,-209.26273219796678
-38.85635,139,9.730435,-38.856350300785195,-38.856350300785195
-109.10949,84,10.555786,-109.10948974696882,-109.10948974696882
-123.030084,126,11.758756,-123.03008401192557,-123.03008401192557
-108.045394,74,12.457976,-108.04539352455812,-108.04539352455812
-114.03497,68,13.11919,-114.03496966262355,-114.03496966262355
-73.745749,113,14.194961,-73.74574871822978,-73.74574871822978
-280.557846,95,15.112677,-280.55784573128415,-280.55784573128415
-364.110076,101,16.083876,-364.11007564398494,-364.11007564398494
-22.532889,178,17.808996,-22.532889351750484,-22.532889351750484
-150.625595,98,18.751186,-150.62559482469246,-150.62559482469246
-78.676139,85,19.582379,-78.67613901531178,-78.67613901531178
-444.288929,98,20.521448,-444.2889287729823,-444.2889287729823
-76.871795,74,21.234882,-76.87179467553196,-76.87179467553196
-68.844617,64,27.496249,-68.8446170965957,-68.8446170965957
-98.521237,99,28.484465,-98.52123663350199,-98.52123663350199
-170.735627,68,29.145791,-170.73562686144857,-170.73562686144857
-152.741384,84,29.974123,-152.7413839377162,-152.7413839377162
-215.305734,102,30.964372,-215.30573354702148,-215.30573354702148
-150.501051,65,31.59276,-150.5010512798382,-150.5010512798382
-135.324147,128,32.835711,-135.324147412226,-135.324147412226
-128.240279,81,33.629429,-128.2402790516505,-128.2402790516505
-132.303502,100,34.60994,-132.3035018291794,-132.3035018291794
-279.115205,119,35.767816,-279.1152054500441,-279.1152054500441
-168.667284,106,36.796871,-168.6672841644309,-168.6672841644309
-133.276209,73,37.504146,-133.27620887795976,-133.27620887795976
-379.605396,107,38.538325,-379.60539581463433,-379.60539581463433
-99.288063,84,39.351234,-99.2880633167648,-99.2880633167648
-128.856338,120,40.51761,-128.85633839838215,-128.85633839838215
-153.632303,75,41.243719,-153.6323028300629,-153.6323028300629
-56.613381,74,41.967777,-56.61338084367271,-56.61338084367271
-81.863264,76,42.711043,-81.86326375404533,-81.86326375404533
-312.542116,97,43.654793,-312.5421160676824,-312.5421160676824
-99.070419,129,44.903659,-99.07041902394455,-99.07041902394455
-237.512639,100,45.874734,-237.51263893647567,-237.51263893647567
-28.600407,70,46.552881,-28.600407319019894,-28.600407319019894
-59.198345,61,52.909025,-59.198344780538946,-59.198344780538946
-63.020986,81,53.732846,-63.02098649746097,-63.02098649746097
-63.225335,65,54.355005,-63.225334829528244,-63.225334829528244
-113.550075,115,55.471337,-113.55007536278742,-113.55007536278742
-362.558378,103,56.476945,-362.55837765207065,-362.55837765207065
-72.222542,112,57.575145,-72.22254173211198,-72.22254173211198
-314.077818,95,58.490405,-314.0778179848777,-314.0778179848777
-127.37855,119,59.648525,-127.37854956708519,-127.37854956708519
-84.271955,104,60.676915,-84.27195538532021,-84.27195538532021
-105.795899,73,61.390923,-105.79589897851423,-105.79589897851423
-50.358451,72,62.086626,-50.35845070644421,-50.35845070644421
